MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest,Days On Market,District
MLS #SC24127762,"$663,500 ","$663,500 ","570 Peach Street #23 San Luis Obispo, CA 93401-2220",House,Residential,2,2,0,918 sqft,871.00 sqft,$440 Monthly,0,0,26-Jul-24,1,,,,No,1975,Condominium,4,downtown
MLS #SC24091640,"$2,195,000 ","$2,000,000 ","570 Pacific San Luis Obispo, CA 93401",House,Residential,3,3,1,"2,227 sqft","2,499.00 sqft",0,2,2,25-Jul-24,3,,Yes,,No,2024,None,57,downtown
MLS #SC24073717,"$1,225,000 ","$1,195,000 ","771 Toro Street San Luis Obispo, CA 93401-2830",House,Residential,2,2,0,"1,200 sqft","4,400.00 sqft",0,0,0,19-Jul-24,1,,,,No,1925,None,68,downtown
MLS #NS24109649,"$729,000 ","$729,000 ","1739 Johnson Avenue San Luis Obispo, CA 93401-4127",House,Residential,2,1,0,900 sqft,"4,000.00 sqft",0,3,1,11-Jul-24,1,,No,City Street,No,1925,None,8,downtown
MLS #SC23208408,"$1,194,000 ","$1,300,000 ","1143 Peach Street San Luis Obispo, CA 93401-2818",House,Residential,2,2,0,"1,100 sqft","3,800.00 sqft",0,4,0,24-Jun-24,1,,,City Street,No,1906,None,143,downtown
MLS #SC24096310,"$999,000 ","$999,000 ","1052 Peach St San Luis Obispo, CA 93401",House,Residential,4,2,0,"1,564 sqft","5,500.00 sqft",0,0,0,6-Jun-24,1,,,,No,1926,None,3,downtown
MLS #NS24075035,"$765,000 ","$765,000 ","415 Dana Street #1 San Luis Obispo, CA 93401-3403",House,Residential,2,1,1,"1,463 sqft","1,463.00 sqft",$600 Monthly,2,2,24-May-24,3,,No,,No,1983,Condominium,5,downtown
MLS #SC24061875,"$525,000 ","$525,000 ","680 Chorro Street #17 San Luis Obispo, CA 93401-2760",House,Residential,2,1,0,878 sqft,878.00 sqft,$324 Monthly,2,0,9-May-24,2,Traditional,,City Street,No,1980,Condominium,12,downtown
MLS #SC24047396,"$929,000 ","$929,000 ","1828 Johnson Avenue San Luis Obispo, CA 93401-4130",House,Residential,4,1,0,"1,911 sqft","7,200.00 sqft",0,0,0,7-May-24,2,,,,No,1930,None,12,downtown
MLS #SC23118730,"$2,395,000 ","$2,395,000 ","576 -578 Pacific Street San Luis Obispo, CA 93401",House,Residential,4,4,1,"2,579 sqft","3,280.00 sqft",0,2,2,3-May-24,3,"Contemporary, Modern",Yes,,Yes,2023,None,,downtown
MLS #SC24058703,"$1,100,000 ","$1,085,000 ","1328 Morro Street #110 San Luis Obispo, CA 93401",Triplex,Residential,2,1,0,"1,285 sqft","1,163.00 sqft",$573.34 Monthly,2,2,29-Apr-24,3,Craftsman,Yes,City Street,No,2017,Condominium,10,downtown
MLS #SC24038670,"$849,000 ","$860,047 ","1241 Beach Street San Luis Obispo, CA 93401-3923",House,Residential,2,1,0,924 sqft,"4,400.00 sqft",0,0,0,22-Apr-24,1,Craftsman,,,No,1908,None,8,downtown
MLS #PI24042321,"$799,900 ","$810,000 ","1144 Walnut Street #3 San Luis Obispo, CA 93401-2427",House,Residential,2,1,1,"1,374 sqft","1,436.00 sqft",$130 Monthly,2,2,4-Apr-24,3,Contemporary,Yes,,No,2005,Condominium,1,downtown
MLS #SC24039803,"$1,220,000 ","$1,220,000 ","1163 Peach Street San Luis Obispo, CA 93401-2818",House,Residential,2,2,0,"1,200 sqft","3,800.00 sqft",0,0,0,8-Mar-24,1,,,,No,1925,None,,downtown
MLS #NS23229433,"$1,249,000 ","$1,190,000 ","1329 Beach Street San Luis Obispo, CA 93401-3925",House,Residential,2,2,0,"1,343 sqft","5,000.00 sqft",0,4,1,4-Mar-24,1,,Yes,,No,1924,None,33,downtown
MLS #SC24008940,"$799,000 ","$820,000 ","986 Walnut Street San Luis Obispo, CA 93401-2727",House,Residential,2,1,0,"1,241 sqft","6,000.00 sqft",0,2,0,23-Feb-24,1,Cottage,,"City Street, Highway",No,1947,None,5,downtown
MLS #SC24011844,"$1,695,000 ","$1,695,000 ","1208 Pismo Street San Luis Obispo, CA 93401-3320",House,Residential,4,3,0,"1,836 sqft","7,750.00 sqft",0,0,0,20-Feb-24,2,Victorian,,City Street,No,1918,None,8,downtown
