MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest,Days On Market,District
MLS #SC24133486,"$725,000 ","$721,000 ","1185 E Foothill Boulevard #36 San Luis Obispo, CA 93405-8504",House,Residential,2,2,0,"1,238 sqft","1,238.00 sqft",$554 Monthly,2,2,29-Jul-24,3,,Yes,,No,1986,Condominium,,foothill
MLS #SC24109821,"$1,895,000 ","$1,940,000 ","487 Chorro Street San Luis Obispo, CA 93405-2319",House,Residential,3,,0,"1,829 sqft","6,534.00 sqft",0,1,1,26-Jul-24,1,Bungalow,No,,No,1937,None,10,foothill
MLS #PI24119565,"$929,900 ","$981,000 ","250 Warren Way San Luis Obispo, CA 93405-1260",House,Residential,3,1,0,950 sqft,"6,098.00 sqft",0,2,2,26-Jul-24,1,,Yes,City Street,No,1953,None,4,foothill
MLS #SC24083650,"$950,000 ","$925,000 ","418 Cuesta Drive San Luis Obispo, CA 93405",House,Residential,3,2,0,"1,195 sqft","6,930.00 sqft",0,1,1,2-Jul-24,1,,Yes,,No,1953,None,9,foothill
MLS #SC24094939,"$1,095,000 ","$1,040,000 ","2048 Hope Street San Luis Obispo, CA 93405-2104",House,Residential,3,2,0,"1,004 sqft","2,969.00 sqft",0,0,0,24-Jun-24,1,"Bungalow, Craftsman, Traditional",,,No,1941,None,26,foothill
MLS #SC24072587,"$1,200,000 ","$1,020,000 ","1151 Montalban Street San Luis Obispo, CA 93405-2427",House,Residential,4,1,0,"1,664 sqft","6,250.00 sqft",0,1,1,21-Jun-24,2,Traditional,Yes,City Street,No,1942,None,38,foothill
MLS #SC24079256,"$1,200,000 ","$1,100,000 ","636 Cuesta Drive San Luis Obispo, CA 93405-1108",House,Residential,3,2,1,"2,194 sqft","6,103.00 sqft",0,2,2,12-Jun-24,2,,Yes,,No,1959,None,13,foothill
MLS #SC24066485,"$615,000 ","$635,000 ","55 Stenner Street #L San Luis Obispo, CA 93405-1875",House,Residential,2,2,0,"1,025 sqft","1,025.00 sqft",$425 Monthly,2,0,16-May-24,1,,,,No,1985,Condominium,6,foothill
MLS #SC24040934,"$1,295,000 ","$1,300,000 ","826 Mission Street San Luis Obispo, CA 93405-2343",House,Residential,2,2,0,"1,395 sqft","7,250.00 sqft",0,1,1,15-May-24,1,,No,City Street,No,1950,None,2,foothill
MLS #SC23212921,"$1,549,000 ","$1,610,000 ","20 Buena Vista San Luis Obispo, CA 93405",House,Residential,2,2,0,"2,965 sqft","12,240.00 sqft",0,2,2,3-May-24,3,,Yes,,No,1987,None,114,foothill
