MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest,Days On Market,District
MLS #SC24144728,"$799,000 ","$822,000 ","1519 Gulf Street San Luis Obispo, CA 93405-6527",House,Residential,4,2,0,"1,385 sqft","6,000.00 sqft",0,2,2,1-Aug-24,1,,No,,No,1963,None,6,laguna
MLS #PI24104914,"$859,000 ","$910,000 ","1251 Drake Circle San Luis Obispo, CA 93405-4907",House,Residential,3,2,0,"1,555 sqft","6,000.00 sqft",0,3.5,1.5,29-Jul-24,1,Traditional,Yes,City Street,No,1970,None,6,laguna
MLS #PI23147921,"$1,350,000 ","$1,338,000 ","1941 Devaul Ranch Drive San Luis Obispo, CA 93405-7433",House,Residential,5,3,0,"3,002 sqft","6,223.00 sqft",$55 Monthly,7,3,17-Jul-24,2,"Cape Cod, Craftsman",Yes,,No,2003,None,147,laguna
MLS #PI24097583,"$874,900 ","$850,000 ","1945 Devaul Ranch Drive San Luis Obispo, CA 93405-7433",House,Residential,3,3,0,"1,843 sqft","3,944.00 sqft",$184 Monthly,3,2,12-Jul-24,2,,Yes,,No,2003,None,32,laguna
MLS #NS24082983,"$2,990,000 ","$2,990,000 ","355 Slender Rock Place San Luis Obispo, CA 93405-4766",House,Residential,5,3,1,"4,108 sqft","40,946.00 sqft",$115.59 Monthly,4,4,15-Jul-24,2,Spanish,Yes,City Street,No,2006,Planned Development,5,laguna
MLS #SC24126559,"$665,000 ","$680,000 ","925 Madonna Road #303 San Luis Obispo, CA 93405",House,Residential,3,1,0,"1,071 sqft",,$277.4 Monthly,0,0,15-Jul-24,1,,,City Street,No,2023,Condominium,,laguna
MLS #NS24095295,"$1,499,000 ","$1,400,000 ","1536 Eto Circle San Luis Obispo, CA 93405-7429",House,Residential,5,3,0,"3,028 sqft","9,166.00 sqft",$105 Monthly,2,2,9-Jul-24,2,,Yes,,No,2004,None,17,laguna
MLS #SC24102470,"$799,000 ","$800,500 ","1959 Devaul Ranch Drive San Luis Obispo, CA 93405-7433",House,Residential,3,3,0,"1,843 sqft","3,944.00 sqft",$183 Monthly,2,2,5-Jul-24,2,,No,,No,2003,None,5,laguna
MLS #PI24109562,"$619,000 ","$651,000 ","1351 Royal Way #28 San Luis Obispo, CA 93405-4973",House,Residential,3,1,1,"1,239 sqft","1,583.00 sqft",$350 Monthly,2,2,2-Jul-24,2,,Yes,,No,1980,None,6,laguna
MLS #SC24117928,"$799,000 ","$820,000 ","905 Madonna Rd #48 San Luis Obispo, CA 93405",Triplex,Residential,3,2,1,"1,540 sqft","1,589.00 sqft",$331 Monthly,2,2,1-Jul-24,3,,Yes,,No,2023,Planned Development,2,laguna
MLS #SC24095707,"$509,000 ","$509,000 ","1750 Prefumo Canyon Road #21 San Luis Obispo, CA 93405-6124",Multi-Family,Residential,2,1,0,850 sqft,850.00 sqft,$330 Monthly,1,1,1-Jul-24,1,,No,,No,1973,Condominium,27,laguna
MLS #SC24117033,"$925,000 ","$975,000 ","949 Vista Del Collados San Luis Obispo, CA 93405-4819",House,Residential,3,2,0,"1,361 sqft","7,200.00 sqft",0,4,2,28-Jun-24,1,,Yes,,No,1982,None,4,laguna
