MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest,Days On Market,District
MLS #SC24105379,"$1,400,000 ","$1,400,000 ","3872 Hayfield San Luis Obispo, CA 93401",House,Residential,3,2,1,"1,722 sqft","5,000.00 sqft",$126 Monthly,2,2,24-Jul-24,1,,Yes,,No,2022,Planned Development,6,lobro
MLS #SC24067274,"$1,248,000 ","$1,225,000 ","3935 Kilbern Way San Luis Obispo, CA 93401-6243",House,Residential,3,1,0,"1,625 sqft","4,500.00 sqft",$143 Monthly,2,2,8-Jul-24,1,,Yes,City Street,No,2021,Planned Development,59,lobro
MLS #SC24085920,"$1,350,000 ","$1,400,000 ","4420 Sunflower Way San Luis Obispo, CA 93401-7665",House,Residential,4,3,0,"2,300 sqft","9,050.00 sqft",$28 Monthly,2,2,8-Jul-24,2,,Yes,,No,1990,None,7,lobro
MLS #SC24126056,"$749,900 ","$750,000 ","942 Bluebell Way #25 San Luis Obispo, CA 93401-7654",House,Residential,2,2,0,"1,010 sqft","1,010.00 sqft",$333.92 Monthly,2,2,5-Jul-24,1,,No,Private Road,No,1988,Condominium,2,lobro
MLS #SC24075794,"$2,995,000 ","$2,900,000 ","3738 Orcutt Road San Luis Obispo, CA 93401",House,Residential,9,8,1,"8,855 sqft","229,561.00 sqft",0,3,3,28-Jun-24,2,,Yes,,No,1990,None,34,lobro
MLS #SC24098875,"$1,395,000 ","$1,395,000 ","1252 Alder Court San Luis Obispo, CA 93401-7801",House,Residential,4,3,0,"2,342 sqft","6,607.00 sqft",$50 Monthly,3,3,10-Jun-24,2,,Yes,City Street,No,1996,Planned Development,3,lobro
MLS #SC24065443,"$1,274,990 ","$1,260,000 ","970 Bougainvillea Street San Luis Obispo, CA 93401",House,Residential,5,3,0,"1,786 sqft","6,044.00 sqft",$28 Monthly,2,2,3-Jun-24,2,,Yes,,No,1985,None,38,lobro
MLS #SC24086846,"$1,250,000 ","$1,305,000 ","1422 Ashmore Street San Luis Obispo, CA 93401-7682",House,Residential,3,2,1,"1,818 sqft","6,910.00 sqft",$126 Annually,2,2,3-Jun-24,2,,Yes,,No,1989,None,8,lobro
MLS #SC23218719,"$627,777 ","$615,000 ","3340 Rockview Place #6 San Luis Obispo, CA 93401-6759",Multi-Family,Residential,2,1,1,"1,436 sqft","1,436.00 sqft",$505 Monthly,2,0,31-May-24,2,Contemporary,,City Street,No,1982,Condominium,156,lobro
MLS #PI24082248,"$669,000 ","$675,000 ","1255 Chaparral Circle San Luis Obispo, CA 93401-7809",House,Residential,2,2,1,"1,311 sqft","1,550.00 sqft",$375 Monthly,2,2,29-May-24,2,,No,,No,1996,Condominium,4,lobro
MLS #SC23005540,"$949,000 ","$400,000 ","3281 Rockview San Luis Obispo, CA 93401",House,Residential,3,1,1,"1,640 sqft","41,818.00 sqft",0,2,2,23-May-24,0,,Yes,,No,1944,None,59,lobro
MLS #SC23005541,"$999,000 ","$650,000 ","3291 Rockview San Luis Obispo, CA 93401",House,Residential,3,2,0,"1,200 sqft","41,818.00 sqft",0,0,0,23-May-24,0,,,,No,1980,None,59,lobro
MLS #SC24070891,"$829,000 ","$829,000 ","1060 Bluebell Way San Luis Obispo, CA 93401-7648",House,Residential,2,2,0,"1,219 sqft","1,219.00 sqft",$388 Monthly,2,2,23-May-24,1,Patio Home,Yes,,No,1989,Condominium,13,lobro
MLS #SC24054869,"$825,000 ","$799,999 ","1146 Tiburon Way San Luis Obispo, CA 93401",Multi-Family,Residential,3,2,1,"1,579 sqft","1,802.00 sqft",$354.13 Monthly,2,2,22-May-24,2,,Yes,,No,2023,Condominium,16,lobro
MLS #PI24070654,"$722,900 ","$725,000 ","850 Tarragon Lane San Luis Obispo, CA 93401-7264",Multi-Family,Residential,3,2,1,"1,905 sqft","1,905.00 sqft",$236 Monthly,2,2,14-May-24,4,,Yes,,No,2009,Condominium,4,lobro
MLS #NS24046694,"$879,000 ","$865,000 ","906 Bay Leaf Drive San Luis Obispo, CA 93401-7265",House,Residential,3,3,1,"1,862 sqft","2,212.00 sqft",$250 Monthly,2,2,10-May-24,3,,Yes,,No,2016,Condominium,33,lobro
MLS #PI24072763,"$525,000 ","$535,000 ","3335 Broad Street #31 San Luis Obispo, CA 93401",House,Residential,2,1,1,945 sqft,945.00 sqft,$503 Monthly,2,0,6-May-24,2,,,City Street,No,1982,Condominium,6,lobro
MLS #NS24056186,"$1,375,000 ","$1,400,000 ","4149 Righetti Ranch Road San Luis Obispo, CA 93401-6213",House,Residential,3,3,0,"2,122 sqft","5,000.00 sqft",$149.69 Monthly,6,3,30-Apr-24,2,,Yes,,No,2019,None,8,lobro
MLS #SC24058905,"$1,355,000 ","$1,355,000 ","3909 Hayfield Loop San Luis Obispo, CA 93401",House,Residential,3,2,1,"1,722 sqft","5,000.00 sqft",$125 Monthly,2,2,26-Apr-24,1,,Yes,,No,2021,Planned Development,1,lobro
MLS #SC24052528,"$899,000 ","$905,250 ","1301 Bantam Court #2 San Luis Obispo, CA 93401-6274",Multi-Family,Residential,3,2,1,"1,736 sqft","1,632.00 sqft",$258.34 Monthly,2,2,24-Apr-24,2,,Yes,,No,2022,Planned Development,4,lobro
MLS #SC23210718,"$1,648,000 ","$1,600,000 ","1561 Buckeye Court San Luis Obispo, CA 93401-7818",House,Residential,4,3,1,"2,932 sqft","7,137.00 sqft",$50 Monthly,2,2,13-May-24,2,Patio Home,Yes,City Street,No,2001,Planned Development,95,lobro
MLS #PI24009308,"$1,796,608 ","$1,796,608 ","4032 Hillside Dr. San Luis Obispo, CA 93401",House,Residential,3,4,1,"2,868 sqft","5,676.00 sqft",$174 Monthly,2,2,11-Apr-24,2,Spanish,Yes,City Street,Yes,2024,Planned Development,43,lobro
MLS #PI23218133,"$1,635,618 ","$1,665,744 ","4035 Hillside Dr. San Luis Obispo, CA 93401",House,Residential,3,2,1,"2,608 sqft","5,479.00 sqft",$174 Monthly,2,2,10-Apr-24,2,Spanish,Yes,City Street,Yes,2024,Planned Development,10,lobro
MLS #SC24052493,"$1,095,000 ","$1,095,000 ","4215 Poinsettia Street San Luis Obispo, CA 93401-7637",House,Residential,3,2,0,"1,180 sqft","6,263.00 sqft",$28 Monthly,2,2,9-Apr-24,1,,Yes,,No,1987,Planned Development,3,lobro
