MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest,Days On Market,District
MLS #NS24130051,"$1,280,000 ","$1,240,000 ","3262 Aster Avenue San Luis Obispo, CA 93401",House,Residential,3,3,0,"1,955 sqft","5,829.00 sqft",$58 Monthly,2,2,26-Jul-24,1,"Contemporary, Craftsman",Yes,City Street,No,2016,Planned Development,16,lohi
MLS #SC24110793,"$1,380,000 ","$1,340,000 ","3057 Arezzo Drive San Luis Obispo, CA 93401",House,Residential,3,2,1,"2,159 sqft","6,161.00 sqft",$76.62 Monthly,2,2,22-Jul-24,2,,Yes,,No,2023,None,22,lohi
MLS #SC24117853,"$699,000 ","$716,500 ","2220 Exposition Drive #77 San Luis Obispo, CA 93401-5553",House,Residential,2,1,1,"1,067 sqft","1,067.00 sqft",$300 Monthly,1,1,18-Jul-24,2,,Yes,,No,1985,Condominium,5,lohi
MLS #SC24129241,"$660,000 ","$675,000 ","2220 Exposition Drive #57 San Luis Obispo, CA 93401-5552",House,Residential,2,1,1,"1,026 sqft","1,026.00 sqft",$300 Monthly,2,1,12-Jul-24,2,,Yes,County Road,No,1985,Condominium,3,lohi
MLS #SC24101554,"$1,189,000 ","$1,276,000 ","3109 Arezzo Drive San Luis Obispo, CA 93401-7873",House,Residential,3,1,1,"1,999 sqft","5,000.00 sqft",$76.62 Monthly,2,2,24-Jun-24,2,Mediterranean,Yes,City Street,No,2021,Planned Development,4,lohi
MLS #SC24069955,"$1,149,000 ","$1,025,000 ","550 Stoneridge Drive San Luis Obispo, CA 93401-5669",House,Residential,3,2,0,"1,716 sqft","6,615.00 sqft",$41.66 Monthly,2,2,21-Jun-24,1,Mediterranean,Yes,,No,2001,Planned Development,49,lohi
MLS #SC24071861,"$1,449,000 ","$1,325,000 ","2463 Ladera Court San Luis Obispo, CA 93401-5542",House,Residential,3,2,0,"2,230 sqft","9,900.00 sqft",0,2,2,17-Jun-24,2,,Yes,City Street,No,1988,None,18,lohi
MLS #SC24092925,"$1,335,000 ","$1,335,000 ","3089 Arezzo Drive San Luis Obispo, CA 93401-7861",House,Residential,3,1,1,"1,999 sqft","4,600.00 sqft",$76.62 Monthly,2,2,14-Jun-24,2,,Yes,City Street,No,2020,Planned Development,10,lohi
MLS #SC23218719,"$627,777 ","$615,000 ","3340 Rockview Place #6 San Luis Obispo, CA 93401-6759",Multi-Family,Residential,2,1,1,"1,436 sqft","1,436.00 sqft",$505 Monthly,2,0,31-May-24,2,Contemporary,,City Street,No,1982,Condominium,156,lohi
MLS #SC23005540,"$949,000 ","$400,000 ","3281 Rockview San Luis Obispo, CA 93401",House,Residential,3,1,1,"1,640 sqft","41,818.00 sqft",0,2,2,23-May-24,0,,Yes,,No,1944,None,59,lohi
MLS #SC23005541,"$999,000 ","$650,000 ","3291 Rockview San Luis Obispo, CA 93401",House,Residential,3,2,0,"1,200 sqft","41,818.00 sqft",0,0,0,23-May-24,0,,,,No,1980,None,59,lohi
MLS #PI24066150,"$1,225,000 ","$1,225,000 ","371 San Vincenzo Drive San Luis Obispo, CA 93401-7088",House,Residential,3,2,0,"1,669 sqft","6,002.00 sqft",$76.62 Monthly,2,2,22-May-24,1,Mediterranean,Yes,,No,2018,Planned Development,7,lohi
MLS #SC24052781,"$749,900 ","$745,400 ","287 Via La Paz San Luis Obispo, CA 93401-6979",House,Residential,2,2,1,"1,341 sqft","1,987.00 sqft",$435 Monthly,2,2,10-May-24,2,,Yes,,No,1988,Condominium,27,lohi
MLS #PI24072763,"$525,000 ","$535,000 ","3335 Broad Street #31 San Luis Obispo, CA 93401",House,Residential,2,1,1,945 sqft,945.00 sqft,$503 Monthly,2,0,6-May-24,2,,,City Street,No,1982,Condominium,6,lohi
