MLS #,List Price,Sell Price,Address,Structure Type,Property Type,Beds,Full Baths,Half Baths,Square Footage,Lot Size,HOA Fee,Parking Spots,Garage Spaces,Closed On,Stories,Style,Attached Garage,Road Frontage,New Construction,Year Built,Common Interest,Days On Market,District
MLS #NS24050361,"$1,650,000 ","$1,300,000 ","1549 Mill Street San Luis Obispo, CA 93401-2517",House,Residential,4,3,0,"2,517 sqft","7,250.00 sqft",0,0,0,25-Jul-24,1,,,,No,1950,None,90,mojo
MLS #SC24123478,"$1,495,000 ","$1,530,000 ","1957 San Luis Drive San Luis Obispo, CA 93401-2623",House,Residential,3,1,1,"1,303 sqft","7,500.00 sqft",0,1,1,10-Jul-24,1,,Yes,,No,1949,None,4,mojo
MLS #SC24031542,"$1,850,000 ","$1,700,000 ","1645 Encino Court San Luis Obispo, CA 93401-4612",House,Residential,4,2,0,"2,187 sqft","13,306.00 sqft",0,2,2,1-Jul-24,1,Spanish,Yes,,No,1973,None,97,mojo
MLS #PI24066340,"$2,800,000 ","$2,900,000 ","1642 Woodland Court San Luis Obispo, CA 93401",House,Residential,3,2,1,"3,943 sqft","10,454.00 sqft",$34.5 Monthly,2,2,24-May-24,2,,Yes,,No,2014,None,14,mojo
MLS #SC24047396,"$929,000 ","$929,000 ","1828 Johnson Avenue San Luis Obispo, CA 93401-4130",House,Residential,4,1,0,"1,911 sqft","7,200.00 sqft",0,0,0,7-May-24,2,,,,No,1930,None,12,mojo
MLS #SC24057852,"$1,395,000 ","$1,550,000 ","655 Grove Street San Luis Obispo, CA 93401-2509",House,Residential,3,2,0,"1,744 sqft","7,200.00 sqft",0,4,2,25-Apr-24,1,Ranch,Yes,City Street,No,1955,None,4,mojo
MLS #SC24001796,"$1,495,000 ","$1,495,000 ","1885 San Luis Drive San Luis Obispo, CA 93401-2621",House,Residential,3,2,0,"1,740 sqft","7,500.00 sqft",0,2,2,24-Apr-24,1,,Yes,,No,1951,None,79,mojo
MLS #SC24005481,"$899,000 ","$880,000 ","3116 Flora Street Street San Luis Obispo, CA 93401",House,Residential,3,1,0,"1,387 sqft","7,150.00 sqft",0,2,2,26-Feb-24,1,,Yes,City Street,No,1963,None,23,mojo
MLS #SC23208967,"$1,100,000 ","$1,066,000 ","1532 Phillips Lane San Luis Obispo, CA 93401-2528",House,Residential,3,2,0,"1,232 sqft","6,600.00 sqft",0,2,2,22-Feb-24,1,Bungalow,Yes,City Street,No,1951,None,59,mojo
MLS #SC24031004,"$2,650,000 ","$2,650,000 ","1710 Alta Street San Luis Obispo, CA 93401-3005",House,Residential,4,4,0,"3,266 sqft","12,700.00 sqft",0,2,2,13-Feb-24,2,,Yes,,No,1971,None,,mojo
MLS #SC23230775,"$2,175,000 ","$2,100,000 ","1792 Conejo Avenue San Luis Obispo, CA 93401-3011",House,Residential,4,3,0,"2,356 sqft","8,375.00 sqft",0,0,0,6-Feb-24,2,Traditional,,,No,1942,None,5,mojo
